3084.67,171471,269655,416186,396026,388450,352234,225578,548118,534650,771424,910299,2922.44,262062,581989,600546,736966,836121,
3313.22,115999,233046,489217,338147,358151,249154,211023,594652,554828,714351,820198,3422.3,275780,440443,592915,778017,929068,
3002.03,150205,253572,410887,406116,383734,241662,239041,517051,667464,725705,851339,2508.13,290459,439677,545934,756461,884733,
3386.68,136130,271011,411904,338214,355396,277821,215540,635369,630392,831875,890273,3368.17,281726,421324,540249,745909,855076,
3599.24,141210,262115,350561,377668,399812,240525,219441,587790,763458,664302,779672,3036.42,287131,378874,608844,750142,774763,
3758.22,138315,288139,387791,383175,376820,320951,256603,562155,562626,702996,954978,2661.49,292155,535693,547824,674110,909392,
2743.99,126992,303744,397465,341709,393408,221033,255872,525309,640511,1.02118e+06,847627,2553.88,271181,403274,649467,759339,726058,
3213.36,112593,281608,439962,359767,342409,330868,231015,532944,612904,957474,987297,3087.25,266939,470161,611681,787643,918684,
3765.53,131993,279917,329431,464133,327175,311415,210240,528775,753228,769495,1.11293e+06,2269.65,306890,439309,498752,820601,856647,
3842.56,148992,299136,385055,397114,331847,230795,230326,551468,646663,748097,886332,2822.34,261249,436747,498941,624900,960693,
2820.5,132501,324051,417152,410104,356445,296237,222739,589635,661487,877526,877793,2370.57,290759,417154,534822,804629,863938,
3293.95,155653,311978,432871,383300,347861,336970,242994,495226,617384,731055,995252,2351.1,252534,506746,535006,768130,697678,
3840.2,174481,263026,400717,317250,327945,282133,225961,527400,631709,909119,676958,3030.92,284663,413230,510879,746417,787881,
3145.95,148139,249077,405092,339833,392807,272408,278004,579716,619863,797958,881172,3270.66,250550,488731,578661,668690,789881,
3047.62,157176,279365,372931,342927,358926,252250,261249,496072,577384,717451,852969,2461.96,294390,378478,542927,727385,764610,
3150.68,158124,271556,428801,461214,359617,253491,250323,433126,635194,801282,755410,3643.49,244061,383610,698256,765013,770776,
3209.24,131211,260375,358599,379656,351608,302864,254676,559919,614696,706182,884434,3216.19,285905,453545,621188,715581,840225,
4022.08,135089,259699,467825,388034,343429,319403,227522,497178,700775,866378,1.04047e+06,2844.23,297991,487019,553438,656066,814979,
3227.81,121458,261995,369619,350501,369914,299947,203726,507537,593955,742675,936022,2272.22,356688,535119,522858,840690,811050,
3432.21,179374,303157,423074,319080,347202,287778,236406,561105,645591,713745,719143,2689.06,293658,486693,581103,804770,797785,
3058.08,134985,266452,371951,361207,321950,275675,227747,639151,634822,668147,957372,2962.12,273605,467594,602349,765747,860304,
3411.13,144063,232486,398417,323840,365360,282076,263668,515823,656602,818353,716988,2872.24,243529,404014,547205,815315,776864,
3396.54,138887,291623,406517,382575,411685,333374,251492,651391,661959,772519,1.14438e+06,2637.15,305209,477014,546344,793703,789112,
3477.73,160191,279554,321972,323969,336198,253172,199846,492199,629345,839572,926549,2427.08,311950,361885,564906,924078,961333,
3340.42,141513,266979,412411,371743,364291,236275,227754,485511,591701,874210,904662,2770.82,326977,505029,495412,691615,833000,
3632.87,129748,275142,387235,381224,316258,277422,249270,592115,644593,742716,963971,2781.26,300643,478470,616867,796015,837402,
2905.6,156464,297972,383853,417606,326099,364199,280702,549747,644908,764060,685318,3201.33,289970,406227,575236,721070,766031,
3129.06,142121,274298,426299,366737,359532,322625,273742,527523,770630,753151,949311,2987.57,322710,480526,529931,832305,935130,
3598.41,161886,285692,416911,398376,389760,230230,222827,510699,695638,652521,801842,2699.3,253253,378303,658225,896930,774413,
3821.22,163525,305538,379001,380655,401229,294728,221326,664950,645330,861219,802022,2406.96,306298,455402,536037,870516,810035,
3541.54,147955,310004,437645,415281,399611,260018,218826,516530,522499,818597,793127,2502.84,319263,396740,640596,758712,751284,
2978.82,179273,293638,422545,410915,417166,289043,261884,576881,719411,820865,762053,2466.11,309726,434907,666441,760508,765796,
3177.7,145632,333534,426107,375835,348909,260152,229684,497227,665340,779862,911170,3238.69,288213,388305,520073,835938,879417,
3154.26,138412,262530,434512,382712,380921,330790,237467,563563,754635,820316,728508,2544.55,277231,472855,630404,750936,829886,
3074.34,180167,280961,498934,358845,388800,267595,242483,608518,625498,801142,914315,3559.01,319497,396967,577717,646957,716339,
2936.35,155385,243778,338930,378548,340303,266100,227829,508482,651335,641584,868286,2411.07,297376,471087,586183,654484,865679,
3298.89,153731,271081,339515,398834,334248,253556,231331,648196,567933,806820,792800,2745.9,252499,430346,594693,719211,817845,
3105.64,149963,301724,354769,356211,292417,259781,257994,552389,651071,1.00735e+06,666835,2643.69,342268,492861,579490,619239,783947,
3282.84,163592,267705,384238,350309,330743,278703,244781,462002,771234,850854,939499,3365.96,305976,472965,567017,673758,987557,
3128.87,148093,296676,356878,351144,350160,257409,245042,528674,621522,730789,940378,2802.04,296723,502374,667450,826424,849190,
2875.92,151779,280757,411954,335599,289088,242060,203745,529748,614013,689072,925739,3135.94,217350,472198,557553,942220,944793,
3116.61,162888,301412,340337,363307,351320,327466,211899,528104,884106,762536,821918,3007.5,331725,499322,571290,685257,919132,
2904.21,150404,324503,386348,390848,358795,278789,202340,550072,724052,590687,937399,2931.73,242454,462686,640257,863849,871315,
2879.27,129927,334831,348233,380192,321481,276995,250341,529060,517369,848770,751600,2851.83,247609,438304,614595,847726,829572,
3094.12,184299,318143,391017,412456,350572,249301,258900,546679,649260,833551,857962,2991.67,246771,419222,536248,695052,838048,
2824.48,164892,280160,369613,391318,297029,298495,233492,531077,675386,898022,800131,3358.08,293283,482274,546014,676642,808955,
3100.55,166608,344482,465710,373220,378359,245945,204122,672387,672798,802398,889591,2345.56,247757,517551,572392,777874,858053,
2966.44,148703,266367,383404,404107,283077,262237,304018,602383,748279,853920,861265,2746.77,266893,468919,470166,869217,805881,
2826.28,131912,284444,410952,370757,294803,260705,226921,551308,622544,924380,1.03961e+06,2514.13,238092,383974,696165,766153,667854,
2836.33,162386,257682,395165,361226,364389,220681,226882,574503,591475,826669,809776,2961.49,321343,445336,612723,770423,970761,
3510.49,147374,278101,457940,362051,334884,231527,262298,511071,678250,749712,832164,2549.89,296208,476522,691505,744778,784489,
3639.2,136336,246602,432008,448425,346182,256978,243973,607559,615915,700825,868468,2996.13,290218,326720,586371,709113,747296,
3731.9,149501,347548,349787,407252,315491,298437,246460,470239,726841,917326,717483,2801.45,258099,509913,564105,829344,844784,
3269.34,165258,298775,401582,420241,296263,282670,238529,587851,755611,807279,821756,3136.97,321599,464334,500727,850754,898381,
3238.2,162885,231845,395617,405430,311905,251657,213476,516762,538869,696024,766551,2944.74,320209,429862,557268,865253,793117,
3288.89,160080,322421,394054,439956,397286,311212,261283,549436,604173,715489,818992,2883.85,291920,466358,538761,778826,806104,
3514.87,157127,292262,407913,356488,361319,311750,245622,519751,600926,942609,1.00517e+06,2386.24,281073,390078,574866,854713,842093,
3481.93,168888,292782,417031,416061,282163,232295,229442,497112,558386,680313,758308,3045.87,252079,490373,611214,676647,673253,
3880.28,166969,253261,397554,375402,322591,294942,233142,605447,656569,814076,773730,2807.11,294582,390921,617065,978020,766970,
